Timestamp,What type of smartphone you use?,What type of bank accounts and services you currently engage with? Select all that applies.,How many Mobile Banking Apps currently setup in your smartphone?,How long have you been using Mobile Banking Apps in your smartphone? (Answer in years),"On average, how often do you use Mobile Banking Apps in your smartphone?",What are the tasks that you do using Mobile Banking Apps setup in your smartphone?,What are the types of bills you pay with your Mobile Banking Apps? Select all that applies.,What tasks you do with your Mobile Banking Apps related to credit cards? Select all that applies.,What tasks you do with your Mobile Banking Apps related to fixed deposits? Select all that applies.,What is your experience on the extent of the ease of use of Mobile Banking Apps?,How do you feel about the security of using Mobile Banking Apps?,How satisfied are you with your overall usage of Mobile Banking Apps?,How likely is to recommend the usage of Mobile Banking Apps to your friends and colleagues?,Gender,Age (in years),Closest city,Current Job,"How long have you been working? (including the time for previous jobs, if any). Answer in years.",Education up to ?,Which of the following social media sites that you visit most?,"On average how, much time do you spend on social media daily?"
26/11/2020 13:20:28,Apple,"Savings accounts, Fixed Deposits, Credit Cards, Loans",4,5,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To check for credit card promotions",To view my existing fixed deposits,5,5,5,5,Male,29,Maharagama,Business Analyst,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp, Viber",1 hour
26/11/2020 13:29:54,Android,"Savings accounts, Current Accounts, Fixed Deposits, Loans",2,3,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,To view my existing fixed deposits,4,4,2,2,Male,29,Nivithigala,Retail Shop Owner,8,G.C.E. (A/L),"Facebook, YouTube, Whatsapp",1 hour
26/11/2020 14:37:17,Android,"Savings accounts, Credit Cards",3,3.5,Once a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,2,2,Male,29,Nugegoda,Senior Software Engineer,4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",Less than 1 hour
26/11/2020 14:51:03,Android,"Savings accounts, Current Accounts, Loans",3,4,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Checking loan balance",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,4,4,Male,29,Gampaha ,Engineer ,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",2 hours
26/11/2020 15:02:09,Android,"Savings accounts, Fixed Deposits, Credit Cards",2,1,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",To view my existing fixed deposits,5,4,4,5,Female,28,Colombo ,Lecturer,5,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",4 hours or more
26/11/2020 15:06:04,Android,"Savings accounts, Fixed Deposits, Credit Cards, Loans",2,1,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,5,5,Female,27,Ratnapura,Dental surgeon,2,Doctor’s Degree,"Facebook, YouTube, Instagram, Whatsapp, Viber",4 hours or more
26/11/2020 15:30:30,Apple,"Savings accounts, Fixed Deposits, Credit Cards",2,4,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills",To check my credit card balance,To view my existing fixed deposits,4,4,4,4,Female,30,Ratnapura,Senior Business Analyst,4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",Less than 1 hour
26/11/2020 16:22:38,Android,"Savings accounts, Credit Cards",2,2,Several Times a month,"Checking savings account balance, Checking credit card statement, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Mobile/Telephone bills,"To check my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,5,4,Female,28,Ratnapura ,Medical Laboratory Scientists ,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",Less than 1 hour
26/11/2020 16:59:04,Android,"Savings accounts, Credit Cards",3,4,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,3,3,Male,29,Badulla,Doctor,2,Doctor’s Degree,"Facebook, YouTube, Whatsapp",Less than 1 hour
26/11/2020 17:59:43,Android,Savings accounts,1,2,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,4,4,2,Female,48,Colombo,Teacher,21,After A/L Diploma,Facebook,Less than 1 hour
26/11/2020 18:37:29,Apple,"Savings accounts, Fixed Deposits, Credit Cards, Loans",5,3,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance","To view my existing fixed deposits, To open new fixed deposits, To settle matured fixed deposits",5,5,5,5,Male,31,Kegalle,Electrical Engineer,4,Bachelor’s Degree,"Facebook, YouTube, Whatsapp",1 hour
27/11/2020 21:43:52,Android,Savings accounts,1,1,Several Times a month,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,1,3,3,Male,24,Kandy,Instructor ,0.5,Bachelor’s Degree,Whatsapp,2 hours
27/11/2020 21:45:36,Android,"Savings accounts, Credit Cards, Loans",2,2,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,4,5,Male,27,Kandy,Lecturer ,3,Bachelor’s Degree,"YouTube, Instagram, Whatsapp",2 hours
29/11/2020 21:09:35,Android,Savings accounts,2,2,Daily,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,3,2,Male,27,Nuwara Eliya,Doctor,2,Doctor’s Degree,"Facebook, Whatsapp",2 hours
29/11/2020 21:11:27,Android,Savings accounts,3,3,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Electricity bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,3,4,Male,27,Kuruwita,Survey Field Assistant,3,After O/L Diploma,"Facebook, YouTube, Instagram, Whatsapp",3 hours
29/11/2020 21:13:32,Android,"Savings accounts, Credit Cards",2,5,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,5,5,Female,29,Ratnapura,Customer service officer,6,G.C.E. (A/L),"Facebook, YouTube, Instagram, Whatsapp, Viber",2 hours
29/11/2020 21:18:35,Android,"Savings accounts, Fixed Deposits",1,1,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,4,3,4,Male,30,Piliyandala,Software Engineer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram",4 hours or more
29/11/2020 21:19:52,Android,"Savings accounts, Credit Cards",2,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Male,28,Ratnapura ,Technical officer,2,After A/L Diploma,"Facebook, YouTube, Whatsapp",1 hour
29/11/2020 21:23:54,Android,Savings accounts,1,2,Weekly,"Checking savings account balance, Transferirng money to other accounts",Mobile/Telephone bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Female,28,Ratnapura ,Teacher ,5,Bachelor’s Degree,"Facebook, Whatsapp, Viber",4 hours or more
29/11/2020 21:26:08,Android,"Savings accounts, Fixed Deposits",1,3,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,To view my existing fixed deposits,5,5,5,5,Female,24,Rathnpura ,Undergraduate ,6,Bachelor’s Degree,"Facebook, YouTube, Instagram, Twitter, Whatsapp",4 hours or more
